Year,droughts_spikes,droughts_spike_avg,heatwaves_spikes,heatwaves_spike_avg,floods_spikes,floods_spike_avg
2008,1.0,2.0,4.0,2.5,5.0,3.4
2009,92.0,6.717391304347826,91.0,4.714285714285714,94.0,5.308510638297872
2010,91.0,7.571428571428571,171.0,10.070175438596491,162.0,10.290123456790123
2011,251.0,21.191235059760956,197.0,14.0,311.0,15.430868167202572
2012,347.0,35.06628242074928,304.0,31.54605263157895,306.0,34.27777777777778
2013,342.0,21.403508771929825,318.0,23.92452830188679,393.0,29.432569974554706
2014,450.0,39.95777777777778,353.0,33.03116147308782,434.0,45.6221198156682
2015,478.0,75.61506276150628,422.0,39.98341232227488,464.0,57.474137931034484
2016,463.0,82.81209503239741,416.0,61.62259615384615,531.0,87.51035781544256
2017,435.0,68.61379310344827,451.0,115.0,481.0,157.7193347193347
