Hour,droughts_tweets,droughts_spike,heatwaves_tweets,heatwaves_spike,floods_tweets,floods_spike
2008-04-04 13,1.0,0.0,,,,
2008-04-10 16,1.0,0.0,,,1.0,0.0
2008-05-21 06,1.0,0.0,,,,
2008-06-19 19,1.0,0.0,,,,
2008-06-19 20,1.0,0.0,,,,
2008-06-29 22,1.0,0.0,,,1.0,0.0
2008-06-30 10,1.0,0.0,,,1.0,0.0
2008-06-30 11,1.0,0.0,,,1.0,0.0
2008-07-19 06,1.0,0.0,,,,
2008-07-29 19,1.0,0.0,,,,
2008-08-11 16,1.0,0.0,,,,
2008-08-11 17,1.0,0.0,,,,
2008-08-11 22,1.0,0.0,1.0,0.0,,
2008-08-20 22,1.0,0.0,,,,
2008-08-22 13,1.0,0.0,,,,
2008-09-03 11,1.0,0.0,,,,
2008-09-04 11,1.0,0.0,,,,
2008-09-04 12,1.0,0.0,1.0,0.0,,
2008-09-06 11,1.0,0.0,,,,
2008-09-10 05,1.0,0.0,,,,
2008-09-15 08,1.0,0.0,,,,
2008-09-17 05,1.0,0.0,,,,
2008-09-22 00,1.0,0.0,,,1.0,0.0
2008-09-22 15,1.0,0.0,1.0,0.0,,
2008-09-24 14,1.0,0.0,,,,
2008-09-29 16,1.0,0.0,,,1.0,0.0
2008-09-30 16,1.0,0.0,,,,
2008-10-02 03,1.0,0.0,,,,
2008-10-06 21,1.0,0.0,,,,
2008-10-17 18,1.0,0.0,,,,
2008-10-18 12,1.0,0.0,,,,
2008-10-22 15,1.0,0.0,1.0,0.0,1.0,0.0
2008-10-29 23,1.0,0.0,,,,
2008-10-31 02,1.0,0.0,,,,
2008-10-31 23,1.0,0.0,,,,
2008-11-03 06,1.0,0.0,,,,
2008-11-03 14,1.0,0.0,,,,
2008-11-04 01,1.0,0.0,,,,
2008-11-10 11,1.0,0.0,,,,
2008-11-11 18,1.0,0.0,1.0,0.0,,
2008-11-11 19,1.0,0.0,1.0,0.0,,
2008-11-15 04,1.0,0.0,,,,
2008-11-17 17,1.0,0.0,,,,
2008-11-18 06,1.0,0.0,,,1.0,0.0
